User,Best Model,Macro F1
p01,SVM,0.653923853923854
p02,RandomForest,1.0
p03,LightGBM,0.6529029029029029
p04,LightGBM,0.42885348583877986
p05,XGBoost,0.7122987433121812
p06,LightGBM,1.0
p07,LogisticRegression,0.7366871479774706
p08,RandomForest,0.5035799049206108
p09,XGBoost,0.6487725524992606
p10,XGBoost,0.5983989490721436
p11,SVM,0.8300653594771242
p12,LightGBM,0.8290598290598291
p13,LogisticRegression,0.47612942612942616
p14,RandomForest,1.0
p15,KNN,0.6023569023569023
p16,LightGBM,0.48268106162843005
